step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.04522928595542908,0.40050482004880905,0.0,-5.00026193737116,7.69993436489291,-3.139808660959167,"(0, 1, 0)"
2,training,0.07244780659675598,0.3927520737051964,0.0,-5.067209876111803,7.700192570483558,3.09739680482131,"(0, 1, 0)"
3,training,0.1478389948606491,0.2988051623106003,0.0,-5.105341327586136,7.7003023944872275,3.1398757525541026,"(0, 1, 0)"
4,training,0.1907041072845459,0.32732483744621277,0.0,-5.140571459048962,7.699923733120349,-3.1260089761058527,"(0, 1, 0)"
5,training,0.09043455123901367,0.09576445445418358,0.0,-5.15808906808395,7.699617968861244,-3.1254203872870114,"(0, 1, 0)"
6,training,0,0.049818851053714766,0.0,-5.176911237778245,7.699027173916335,-3.1354870198547973,"(0, 1, 0)"
7,training,0,0.013756878674030318,0.0,-5.195671306492618,7.698949012237161,-3.1369174243310285,"(0, 1, 0)"
8,training,0.12542548775672913,0.08837239816784859,0.0,-5.231400232042445,7.701213834532763,-3.1269883628058595,"(0, 1, 0)"
9,training,0.07139624655246735,0.18700392544269562,0.07414894653816048,-5.246759220965865,7.706290308298396,-3.1038527397387434,"(0, 1, 0)"
10,training,0.014016037806868553,0.4787159189581871,0.07414894653816048,-5.281014623870526,7.707608609030654,-3.041760522931869,"(0, 1, 0)"
11,training,0.019796835258603096,0.1354943923652172,0.07414894653816048,-5.319737803689648,7.702566840598347,-2.972379115835416,"(0, 1, 0)"
12,training,0.08287456631660461,0.44475968554615974,0.07414894653816048,-5.357517587256594,7.69509243487035,-2.9244059294533384,"(0, 1, 0)"
13,training,0.0760202556848526,1.1797466203570366,0.04123816473365327,-5.395050286797067,7.686279773222048,-2.903252769825044,"(0, 1, 0)"
14,training,0.01946951262652874,0.993113562464714,0.04123816473365327,-5.429871338496689,7.678503912888959,-2.9204057507328054,"(0, 1, 0)"
15,training,0.10143784433603287,0.20829719584435225,0.04123816473365327,-5.464929034460828,7.671432784600272,-2.746894197732569,"(0, 1, 0)"
16,training,0.11728434264659882,0.7256816923618317,0.03504808209388961,-5.4944075014502785,7.659276429927822,-2.633123715898493,"(0, 1, 0)"
17,training,0.05122893303632736,0.2033456414937973,0.03504808209388961,-5.528859720242994,7.639796292377442,-2.636323745165512,"(0, 1, 0)"
