step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0,0.008887242525815957,0.0,3.998818375312064,0.0005086962687124743,0.0032406099838653986,"(1, 0, 0)"
2,training,0,0.0088554248213768,0.0,3.9988192921921177,0.0005113804910743531,0.003257286175943783,"(1, 0, 0)"
3,training,0,0.00883280485868454,0.0,4.002871178117709,0.0005277536579997984,0.003358358881841657,"(1, 0, 0)"
4,training,0,0.013109374791383736,0.0,4.034912762720285,0.0006343234305597123,0.0014539761774037664,"(1, 0, 0)"
5,training,0.0036319333594292402,0.05219116061925888,0.0,4.114906409180496,-4.316715208869414e-06,-0.017838353512108166,"(1, 0, 0)"
6,training,0.150948166847229,0.053655706346035004,0.0,4.155337596110791,-0.0008655399462045532,-0.01965876929335773,"(1, 0, 0)"
7,training,0,7.173977792263378e-05,0.0,4.175094611162656,-0.001128966329670925,-0.008485193445245122,"(1, 0, 0)"
8,training,0,0.010359026491641998,0.0,4.195023221507332,-0.0012904166950189156,-0.008748865494984588,"(1, 0, 0)"
9,training,0,0.009661555290222166,0.051457293408700415,4.2351611138587115,-0.0017093347570897612,-0.012390148743451405,"(1, 0, 0)"
10,training,0.22932052612304688,0.05811052769422531,0.051457293408700415,4.295062652133147,-0.0026170855944615793,-0.017933006779637845,"(1, 0, 0)"
11,training,0.073698028922081,0.06308914348483087,0.051457293408700415,4.335194927308117,-0.003462598281076138,-0.024966207840673438,"(1, 0, 0)"
12,training,0.13549721240997314,0.0889890007674694,0.051457293408700415,4.375142604038081,-0.004441381614547775,-0.023747776205252348,"(1, 0, 0)"
13,training,0,0.03194000571966171,0.051457293408700415,4.395036602475121,-0.0048907075631997405,-0.020724161287939753,"(1, 0, 0)"
14,training,0.11599638313055038,0.05984715372323989,0.051457293408700415,4.455260861276506,-0.006452749177199944,-0.03900215242020965,"(1, 0, 0)"
15,training,0,0.03587052226066589,0.04707449827201609,4.47515216196865,-0.007302600414323247,-0.04606304828680852,"(1, 0, 0)"
16,training,0,0.028237201273441315,0.04707449827201609,4.515028535044323,-0.009317226910811731,-0.052724508338915066,"(1, 0, 0)"
17,training,0,0.0284729115664959,0.04707449827201609,4.555113901556484,-0.011457205713966804,-0.053666782184574775,"(1, 0, 0)"
18,training,0,0.03495143726468086,0.04707449827201609,4.594868486112077,-0.013587376244096134,-0.054084312298536406,"(1, 0, 0)"
19,training,0,0.02782797440886498,0.04707449827201609,4.634817351958362,-0.015750972996419064,-0.054351864764423996,"(1, 0, 0)"
20,training,0,0.010080830194056034,0.04707449827201609,4.674821818586957,-0.017913018680928868,-0.05377548710057381,"(1, 0, 0)"
21,training,0,0.022153351455926895,0.03284866667409752,4.714571508090548,-0.02005504911484019,-0.05397569839848902,"(1, 0, 0)"
22,training,0,0.028201155364513397,0.03284866667409752,4.75462175114661,-0.02221161243694211,-0.05364152817163936,"(1, 0, 0)"
23,training,0,0.02325689047574997,0.03284866667409752,4.79443583233466,-0.02432567433095719,-0.053379935063358606,"(1, 0, 0)"
24,training,0,0.022519823163747787,0.03284866667409752,4.834331612448128,-0.026454010609333212,-0.05341592375377607,"(1, 0, 0)"
25,training,0,0.027492035180330276,0.03284866667409752,4.87439306803314,-0.0285873466816792,-0.052781609402747225,"(1, 0, 0)"
26,training,0,0.02142372354865074,0.03284866667409752,4.914129877791708,-0.030678148381259273,-0.05307553089083149,"(1, 0, 0)"
27,training,0,0.021778594702482227,0.018936713191514156,4.954143314247927,-0.03280395493318398,-0.05323015261055378,"(1, 0, 0)"
28,training,0.0477684885263443,0.0785190798342228,0.018936713191514156,5.013919537521501,-0.035960336126978854,-0.0528870571415782,"(1, 0, 0)"
29,training,0.03852260857820511,0.08487647026777267,0.018936713191514156,5.053920471550084,-0.03811267746608993,-0.05541333313970453,"(1, 0, 0)"
30,training,0,0.046754848212003694,0.018936713191514156,5.073975003227795,-0.03922663725012273,-0.05459790766188308,"(1, 0, 0)"
31,training,0.0720289945602417,0.0509580560028553,0.018936713191514156,5.133564090292194,-0.04217766022513641,-0.04368505661034305,"(1, 0, 0)"
32,training,0,0.02546492964029312,0.018936713191514156,5.153565332074414,-0.04300733869352152,-0.03834142615156287,"(1, 0, 0)"
33,training,0,0.03580334782600403,0.014571807695056666,5.1935470653341484,-0.04430424522373913,-0.026211275742047038,"(1, 0, 0)"
34,training,0,0.03194104880094528,0.014571807695056666,5.2333202127922736,-0.04512776571152521,-0.016059374514740647,"(1, 0, 0)"
35,training,0.12402085959911346,0.14482331275939941,0.014571807695056666,5.273406353845824,-0.04561012437037858,-0.007882412938758188,"(1, 0, 0)"
36,training,0.1511666476726532,0.08092815801501274,0.014571807695056666,5.333146725420906,-0.045703071507099305,0.006066409934404596,"(1, 0, 0)"
37,training,0.11603116244077682,0.10733247920870781,0.014571807695056666,5.373243567700248,-0.04541471552901238,0.008065750500214368,"(1, 0, 0)"
38,training,0.12055592238903046,0.150020781904459,0.014571807695056666,5.393267721490878,-0.04525094739136131,0.009035429271360867,"(1, 0, 0)"
39,training,0.12422947585582733,0.2986137568950653,0.02297223210137103,5.433038387440863,-0.044790557821487574,0.015141901741387869,"(1, 0, 0)"
40,training,0,0.007341567426919937,0.02297223210137103,5.4730761492534095,-0.04402368126372655,0.0218041988262335,"(1, 0, 0)"
41,training,0.3453935980796814,0.2935926094651222,0.02297223210137103,5.513041162305043,-0.04310213059642235,0.024148773842700897,"(1, 0, 0)"
42,training,0.21041786670684814,0.26160428300499916,0.02297223210137103,5.5529306085421135,-0.042098242094492214,0.025993367196816206,"(1, 0, 0)"
43,training,0.2955890893936157,0.11277814954519272,0.02297223210137103,5.612910734245872,-0.040331991194373897,0.03524333810672004,"(1, 0, 0)"
44,training,0.10734989494085312,0.1850704625248909,0.02297223210137103,5.6526816816210985,-0.03870123290147725,0.04694417840822675,"(0, 1, 0)"
45,training,0.209917351603508,0.19275543838739395,0.1875515772419693,5.692957365596865,-0.03699265184303828,0.03268973663058487,"(0, 1, 0)"
46,training,0,0.006803151220083237,0.1875515772419693,5.7131457284774445,-0.036406898171594954,0.027097918843832614,"(0, 1, 0)"
47,training,0,0.0026141665875911713,0.1875515772419693,5.753039658262125,-0.035181347111896986,0.028606836707533438,"(0, 1, 0)"
48,training,0,0.006623871624469757,0.1875515772419693,5.7932395870132645,-0.03420896560718175,0.01913585101884022,"(0, 1, 0)"
49,training,0,0.014551922678947456,0.1875515772419693,5.833194922611161,-0.03364225838820238,0.009896192016920392,"(0, 1, 0)"
50,training,0,0.019454177469015108,0.012384290242688757,5.87321328838103,-0.03339704493231777,0.0026169707701766895,"(0, 1, 0)"
51,training,0,0.011049486696720123,0.012384290242688757,5.913426560361913,-0.03345434035970445,-0.005183184427823034,"(0, 1, 0)"
52,training,0,0.012635119259357452,0.012384290242688757,5.9532820024257855,-0.0338270036509876,-0.013715832118005635,"(0, 1, 0)"
53,training,0,0.006344348192214973,0.012384290242688757,5.993430783385846,-0.03453612818172493,-0.021570456420512238,"(0, 1, 0)"
54,training,0,0.0026886053383350303,0.012384290242688757,6.03343261968536,-0.03554368662146733,-0.028707611279772716,"(0, 1, 0)"
55,training,0.23477189242839813,0.058365728706121445,0.0008654033851728364,6.093467744558587,-0.03762606744972808,-0.0408988098408043,"(0, 1, 0)"
56,training,0,0.019708935171365738,0.0008654033851728364,6.113541639055752,-0.03847577040368815,-0.04285960864276592,"(0, 1, 0)"
57,training,0,0.008618967607617378,0.0008654033851728364,6.153259394570039,-0.04016799027436897,-0.04185837947250508,"(0, 1, 0)"
58,training,0,0.007466146722435951,0.0008654033851728364,6.193256243793555,-0.04178347593145567,-0.038969188745315804,"(0, 1, 0)"
59,training,0,0.024197757244110107,0.0008654033851728364,6.233223161417252,-0.043278936052427795,-0.035999417157866365,"(0, 1, 0)"
60,training,0,0.02196802385151387,0.0008654033851728364,6.273063967198139,-0.04464965761055738,-0.033090701025083775,"(0, 1, 0)"
61,training,0,0.008019603788852688,0.010494010220222748,6.313168020620309,-0.04591878170753016,-0.02982254863777627,"(0, 1, 0)"
62,training,0,0.007050208747386929,0.010494010220222748,6.3529964643953445,-0.04703849669828537,-0.02664961128310091,"(0, 1, 0)"
63,training,0,0.0071527063846588135,0.010494010220222748,6.3929596489760465,-0.048039037542364195,-0.02353169847069563,"(0, 1, 0)"
64,training,0,0.007664533331990242,0.010494010220222748,6.433040895013786,-0.04892678098718253,-0.020411893109379714,"(0, 1, 0)"
65,training,0.24466459453105927,0.056900175288319574,0.010494010220222748,6.492846940561072,-0.049999919491738654,-0.015601837426506558,"(0, 1, 0)"
66,training,0,0.004205964505672455,0.010494010220222748,6.5129212241201575,-0.05029892441068568,-0.013746207570702202,"(0, 1, 0)"
67,training,0,0.010548282414674752,0.0033487814722532004,6.552778710630964,-0.05074303642641557,-0.006211768210518407,"(0, 1, 0)"
68,training,0,0.04279976338148117,0.0033487814722532004,6.592612047209249,-0.05071112455678282,0.007586809000466654,"(0, 1, 0)"
69,training,0,0.030239403247833252,0.0033487814722532004,6.632680394417658,-0.050158188485373525,0.02074093238280734,"(0, 1, 0)"
70,training,0.451518714427948,0.06427489966154099,0.0033487814722532004,6.692330392582949,-0.04833506178512726,0.04013596230371638,"(0, 1, 0)"
71,training,0,0.005127169191837311,0.0033487814722532004,6.712320662188186,-0.04746112397127819,0.048099444940335724,"(0, 1, 0)"
72,training,0,0.04331517964601517,0.0033487814722532004,6.752090037362199,-0.04518472633268362,0.06754001897291072,"(0, 1, 0)"
73,training,0,0.030172027647495298,0.006541274570851748,6.791676532907883,-0.04204168451200477,0.0905965389360976,"(0, 1, 0)"
74,training,0,0.03756958246231079,0.006541274570851748,6.8313877888590735,-0.037984252420362054,0.11256794828033098,"(0, 1, 0)"
75,training,0.2882980704307556,0.08576422184705737,0.006541274570851748,6.870853133567794,-0.03311982388001418,0.13312523404387697,"(0, 1, 0)"
76,training,0.5771437883377075,0.05918217450380325,0.006541274570851748,6.910249214361107,-0.027399837543058067,0.1555998272697232,"(0, 1, 0)"
77,training,0.6626323461532593,0.05504082143306732,0.006541274570851748,6.969179485833251,-0.01724435305778749,0.18436048703527022,"(0, 1, 0)"
78,training,0.4912065267562866,0.10198280960321426,0.006541274570851748,6.9886430752368955,-0.013511096953577646,0.19379154686777525,"(0, 1, 0)"
79,training,0.5366060137748718,0.12487234175205231,0.03514518423935328,7.027649820533558,-0.005522433618796773,0.2095509792680034,"(0, 1, 0)"
80,training,0.3799602687358856,0.1428651437163353,0.03514518423935328,7.066662220454413,0.0030379165893942594,0.22075492219664533,"(0, 1, 0)"
81,training,0.5701605081558228,0.24019979545846581,0.03514518423935328,7.105550549543903,0.011924486340898013,0.22641723055376853,"(0, 1, 0)"
82,training,0.5535633563995361,0.29958416894078255,0.03514518423935328,7.144464751516882,0.020856410684821025,0.2228176566158447,"(0, 1, 0)"
83,training,0.2648519277572632,0.3081968277692794,0.03514518423935328,7.183560082932639,0.02957307581069321,0.21576948982614294,"(0, 1, 0)"
84,training,0.5499024987220764,0.33678499236702925,0.03514518423935328,7.222658294491058,0.03799141819148757,0.20720746588202563,"(0, 1, 0)"
85,training,0.7930545806884766,0.31472257897257805,0.05876342623839007,7.26191499770062,0.04601471544361856,0.19592285853129204,"(0, 1, 0)"
86,training,0.3847442865371704,0.2870263494551182,0.05876342623839007,7.301156839492912,0.05364627117154762,0.18984263325976417,"(0, 1, 0)"
87,training,0.8976374864578247,0.31756404833868146,0.05876342623839007,7.340394262422378,0.06114234092281538,0.18825223484091863,"(0, 1, 0)"
88,training,0.4987935423851013,0.22242850810289383,0.05876342623839007,7.379686469026152,0.06870177588849967,0.19663712428405028,"(0, 1, 0)"
89,training,0.5890853404998779,0.32307294011116033,0.05876342623839007,7.418540614660997,0.07695479962454536,0.22433998552334106,"(0, 1, 0)"
90,training,0.2685697674751282,0.31534501910209656,0.05876342623839007,7.457059941105072,0.08639240005150338,0.25714488814449543,"(0, 1, 0)"
91,training,0.9013051986694336,0.3365920186042786,0.010346264088827798,7.495410278867159,0.09719385749343058,0.2921877429923216,"(0, 1, 0)"
92,training,0.4312466084957123,0.3088354021310806,0.010346264088827798,7.533078335978496,0.10925956569717381,0.3278696319243376,"(0, 1, 0)"
93,training,0.28589779138565063,0.30313648283481603,0.010346264088827798,7.570496758312835,0.12272957881191841,0.36193217052605614,"(0, 1, 0)"
94,training,0.4887840747833252,0.2962025851011276,0.010346264088827798,7.607609262489351,0.13740410650924215,0.39037534834943766,"(0, 1, 0)"
95,training,0.7238121032714844,0.31720454245805746,0.010346264088827798,7.644114806547371,0.1529505876084781,0.41364079665053366,"(0, 1, 0)"
96,training,0.6211992502212524,0.33082014322280884,0.010346264088827798,7.680559056797183,0.1693912958415457,0.43378663468633577,"(0, 1, 0)"
97,training,0.46344804763793945,0.328717865049839,0.07252334374238333,7.7164347212502475,0.18640971883943835,0.45213484221320627,"(0, 1, 0)"
98,training,0.4237790107727051,0.3385233134031296,0.07252334374238333,7.752110371243916,0.20414283891320645,0.46992108405951116,"(0, 1, 0)"
99,training,1.1098737716674805,0.32044797763228416,0.07252334374238333,7.787573690376838,0.22248045053836074,0.4834150595049477,"(0, 1, 0)"
100,training,1.2146916389465332,0.33302076905965805,0.07252334374238333,7.822622938848927,0.2412312126703696,0.5013310922109966,"(0, 1, 0)"
101,training,0.8379074931144714,0.24437551200389862,0.07252334374238333,7.8571755258209475,0.26074881213330736,0.5301682840811309,"(0, 1, 0)"
102,training,0.8389406204223633,0.3947153836488724,0.07252334374238333,7.891079717232541,0.28145907512799817,0.5630252800347804,"(0, 1, 0)"
103,training,0.6297447681427002,0.3190469518303871,0.17239082477003592,7.924440858313498,0.3031225505969304,0.5872582590013977,"(0, 1, 0)"
