step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.49394455552101135,0.7028217315673828,0.0,0.0,0.0,0.0,"(1, 0, 0)"
2,training,1.2118256092071533,1.1012325882911682,0.0,0.0,0.0,0.0,"(1, 0, 0)"
3,training,0.898513913154602,0.9628472030162811,0.0,0.0,0.0,0.0,"(1, 0, 0)"
4,training,0.014498434960842133,0.08332541584968567,0.0,0.0,0.0,0.0,"(1, 0, 0)"
5,training,0.0950397178530693,0.44398774206638336,0.0,0.0,0.0,0.0,"(1, 0, 0)"
6,training,0.0442630909383297,0.3195876330137253,0.0,0.0,0.0,0.0,"(1, 0, 0)"
7,training,0.029481202363967896,0.30196812748908997,0.0,0.0,0.0,0.0,"(1, 0, 0)"
8,training,0.03332950174808502,0.13808123767375946,0.08618783496426108,0.0,0.0,0.0,"(1, 0, 0)"
9,training,0.014989986084401608,0.0980115495622158,0.08618783496426108,0.0,0.0,0.0,"(1, 0, 0)"
10,training,0.002515565836802125,0.06880918145179749,0.08618783496426108,0.0,0.0,0.0,"(1, 0, 0)"
11,training,0.002816571854054928,0.017169885337352753,0.08618783496426108,0.0,0.0,0.0,"(1, 0, 0)"
12,training,0.0035823574289679527,0.05999579466879369,0.08618783496426108,0.0,0.0,0.0,"(1, 0, 0)"
13,training,0.0034188791178166866,0.01935279369354248,0.1692314903701869,0.0,0.0,0.0,"(1, 0, 0)"
14,training,0.002605933928862214,0.10807081311941147,0.1692314903701869,0.0,0.0,0.0,"(1, 0, 0)"
15,training,0.014121408574283123,0.05956293269991875,0.1692314903701869,0.0,0.0,0.0,"(1, 0, 0)"
16,training,0.009847057051956654,0.04620864428579807,0.1692314903701869,0.0,0.0,0.0,"(1, 0, 0)"
17,training,0.00601766724139452,0.01426738128066063,0.1692314903701869,0.0,0.0,0.0,"(1, 0, 0)"
18,training,0.004979529418051243,0.03978414461016654,0.20453189083705006,0.0,0.0,0.0,"(1, 0, 0)"
19,training,0.007034801412373781,0.06837580725550652,0.20453189083705006,0.0,0.0,0.0,"(1, 0, 0)"
20,training,0.029643744230270386,0.1464000642299652,0.20453189083705006,0.0,0.0,0.0,"(1, 0, 0)"
21,training,0.014074960723519325,0.18630950897932053,0.20453189083705006,0.0,0.0,0.0,"(1, 0, 0)"
22,training,0.008432501927018166,0.07428158819675446,0.20453189083705006,0.0,0.0,0.0,"(1, 0, 0)"
23,training,0.03639543801546097,0.05065113306045535,0.21087610943937793,0.0,0.0,0.0,"(1, 0, 0)"
24,training,0.00680595263838768,0.06683185696601868,0.21087610943937793,0.0,0.0,0.0,"(1, 0, 0)"
25,training,0.033722471445798874,0.27693241834640503,0.21087610943937793,0.0,0.0,0.0,"(1, 0, 0)"
26,training,0.006222082301974297,0.0007914230227470398,0.21087610943937793,0.0,0.0,0.0,"(1, 0, 0)"
