step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.05991734564304352,0.24478216469287872,0.0,2.498816202545818,0.5005023356368318,0.003201093749605599,"(1, 0, 0)"
2,training,0.01918528974056244,0.111827302724123,0.0,2.499104907331837,0.5005065320632783,0.0032270773627348084,"(1, 0, 0)"
3,training,0,0.002264276146888726,0.0,2.505812772148027,0.5005307781356968,0.003376741936105667,"(1, 0, 0)"
4,training,0,0.01009444519877433,0.0,2.521011811555138,0.5005857408042379,0.0037160088172791556,"(1, 0, 0)"
5,training,0,0.00959601625800132,0.0,2.5607869022146272,0.5009055565288786,0.013358147393613663,"(1, 0, 0)"
6,training,0,0.014094315469264991,0.0,2.6005985579637465,0.5016583315005297,0.024082057120407903,"(1, 0, 0)"
7,training,0,0.002900402992963784,0.0,2.640684310506557,0.5028003665429582,0.03309454168448408,"(1, 0, 0)"
8,training,0,0.021186442114412785,0.0,2.6804237631457055,0.5042752901709465,0.04079356775613943,"(1, 0, 0)"
9,training,0,0.017416990362107754,0.0,2.7203548586539017,0.5060471845831265,0.047877850009990314,"(1, 0, 0)"
10,training,0,0.023880394175648696,0.09461640528121319,2.7603503956493287,0.5080801661166805,0.0533821029652868,"(1, 0, 0)"
11,training,0,0.03229251690208912,0.09461640528121319,2.800063724271773,0.5103266850096085,0.05912957406825628,"(1, 0, 0)"
12,training,0,0.027160989120602608,0.09461640528121319,2.8400732970197526,0.5127856729129758,0.06354410908713988,"(1, 0, 0)"
13,training,0,0.02868199534714222,0.09461640528121319,2.8798623795933174,0.5153842881751081,0.06656256901998767,"(1, 0, 0)"
14,training,0,0.03334139473736286,0.09461640528121319,2.919706015259031,0.5181076263020178,0.06972978627360746,"(1, 0, 0)"
15,training,0,0.02090167067945003,0.09461640528121319,2.9597079803831803,0.5209417833302872,0.0711275904725969,"(1, 0, 0)"
16,training,0.006774868816137314,0.09147011302411556,0.14801192899386084,2.999399222529679,0.5238089448989071,0.07273728833661942,"(1, 0, 0)"
17,training,0,0.021601654589176178,0.14801192899386084,3.0392659989315187,0.526828841371611,0.08356855367400239,"(1, 0, 0)"
18,training,0,0.000329822301864624,0.14801192899386084,3.0789797930090996,0.5304964291979993,0.09934446229703368,"(1, 0, 0)"
19,training,0,0.011651124805212024,0.14801192899386084,3.1185193124563613,0.5347388253444709,0.11351741915411383,"(1, 0, 0)"
20,training,0,0.014227207750082016,0.14801192899386084,3.1582637354327185,0.5394688244600885,0.12116494172538966,"(1, 0, 0)"
21,training,0,0.01465236907824874,0.15336533562693214,3.1977983244787556,0.5443764383630671,0.12611066442383298,"(1, 0, 0)"
22,training,0,0.01320125802885741,0.15336533562693214,3.2374450587905077,0.5494933039733769,0.12957412859499087,"(1, 0, 0)"
23,training,0.011831937357783318,0.10375813022255898,0.15336533562693214,3.2771265002889947,0.554670300563849,0.12896205892072585,"(1, 0, 0)"
24,training,0.01258886605501175,0.07759258523583412,0.15336533562693214,3.3166446976695387,0.5599184129685738,0.1403725987313589,"(1, 0, 0)"
25,training,0.010470254346728325,0.07844165712594986,0.15336533562693214,3.3561434230775213,0.5658070134065207,0.1533853952954835,"(1, 0, 0)"
26,training,0,0.03894010931253433,0.15336533562693214,3.3955661787449696,0.5720605661987602,0.1599123806695725,"(1, 0, 0)"
27,training,0,0.03074226761236787,0.15336533562693214,3.4349521137233325,0.5784971618563328,0.16276070958856864,"(1, 0, 0)"
28,training,0,0.015040023252367973,0.12244316738345698,3.474425591534519,0.5849749135653648,0.16149640539097818,"(1, 0, 0)"
29,training,0,0.00279177725315094,0.12244316738345698,3.513777389991945,0.5913554253413534,0.1595589045752942,"(1, 0, 0)"
30,training,0,0.0241921916604042,0.12244316738345698,3.553344923320247,0.5976422605629748,0.15424159403866833,"(1, 0, 0)"
31,training,0,0.031142052263021476,0.12244316738345698,3.5929494369910393,0.6036034641131622,0.14413144911011477,"(1, 0, 0)"
32,training,0,0.040434783324599266,0.12244316738345698,3.6325041532022015,0.6091730492159504,0.13513741753565706,"(1, 0, 0)"
33,training,0,0.041060885414481156,0.12244316738345698,3.6723020658053724,0.6143821464370195,0.12425159109908004,"(1, 0, 0)"
34,training,0,0.002678103744983673,0.10330002071006593,3.7119580348978922,0.619103726731124,0.11338807975086183,"(1, 0, 0)"
35,training,0,0.008908993564546108,0.10330002071006593,3.751774742153094,0.6235069008427302,0.10890259388537746,"(1, 0, 0)"
36,training,0,0.0036215484142303467,0.10330002071006593,3.7915721841557355,0.6278267367978689,0.10741562316013446,"(1, 0, 0)"
37,training,0,0.04760946519672871,0.10330002071006593,3.8311828777380406,0.6321159133603957,0.10736408749449282,"(1, 0, 0)"
38,training,0.00815754197537899,0.05216463096439839,0.10330002071006593,3.87102383120415,0.6364223090954785,0.11002137048069116,"(1, 0, 0)"
39,training,0,0.027185658924281597,0.10330002071006593,3.910593828744307,0.6409247868123272,0.11683620932613371,"(1, 0, 0)"
40,training,0,0.024471421726047993,0.07754723772305055,3.9502400234742625,0.6457065101251387,0.1221197790660183,"(1, 0, 0)"
41,training,0,0.027272710576653477,0.07754723772305055,3.990019950893458,0.6506179937980505,0.12184346793942852,"(1, 0, 0)"
42,training,0,0.014959031715989113,0.07754723772305055,4.0295603267582125,0.655426177137987,0.11948714327214914,"(1, 0, 0)"
