step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.11239942908287048,0.33526016399264336,0.0,3.9988199065352945,0.0005131790566718343,0.0032684601130067072,"(1, 0, 0)"
2,training,0.06694146245718002,0.24282560870051384,0.0,3.9988208235154614,0.0005158636868501881,0.0032851389569941948,"(1, 0, 0)"
3,training,0.019457638263702393,0.07429377734661102,0.0,4.000976970788214,0.0005352613378601015,0.018201586393115657,"(1, 0, 0)"
4,training,0,0.041284937411546714,0.0,4.006055102242138,0.0006551049240909123,0.018822612195191643,"(1, 0, 0)"
5,training,0.011762312613427639,0.22690021991729734,0.0,4.02842810278157,0.00010766926501969837,-0.07192928309993088,"(1, 0, 0)"
6,training,0.008193792775273323,0.07910039648413658,0.0,4.06277194037693,-0.0032382258881729744,-0.10484041237097,"(1, 0, 0)"
7,training,0.030900422483682632,0.08318899944424629,0.0,4.102577967954755,-0.007616000308651953,-0.12056736915994665,"(1, 0, 0)"
8,training,0.010618569329380989,0.1669953614473343,0.0,4.141948260776038,-0.012956084343705427,-0.14755975206373587,"(1, 0, 0)"
9,training,0.004499540198594332,0.07668948359787463,0.0,4.1813542141691045,-0.018633885482068645,-0.13549655059008567,"(1, 0, 0)"
10,training,0,0.04498789086937906,0.026077945676708656,4.221179209425608,-0.02378355228204503,-0.1285330911870637,"(1, 0, 0)"
11,training,0,0.005215473473072052,0.026077945676708656,4.2607042801439965,-0.028980214491101462,-0.12919664724990412,"(1, 0, 0)"
12,training,0,0.01330583542585373,0.026077945676708656,4.300357723389932,-0.03396486221947447,-0.12088883556946065,"(1, 0, 0)"
13,training,0,0.006468877196311951,0.026077945676708656,4.340063951506434,-0.03864725876409723,-0.11458449926503837,"(1, 0, 0)"
14,training,0,0.014674261212348938,0.026077945676708656,4.37964379433149,-0.04305458704300998,-0.1075592601246595,"(1, 0, 0)"
15,training,0,0.010662101209163666,0.026077945676708656,4.419486467268932,-0.04723356084039841,-0.10166980715410065,"(1, 0, 0)"
16,training,0,0.013920262455940247,0.026077945676708656,4.459146061230253,-0.051204448417199795,-0.09801614380798991,"(1, 0, 0)"
17,training,0,0.0156314168125391,0.00984096364703119,4.498899675484089,-0.05501346981318121,-0.09320731941279975,"(1, 0, 0)"
18,training,0,0.014159988611936562,0.00984096364703119,4.538719846448878,-0.05866745270259443,-0.0908523997252764,"(1, 0, 0)"
19,training,0,0.031437788158655174,0.00984096364703119,4.578436937052124,-0.06221939867941798,-0.08747821733983535,"(1, 0, 0)"
20,training,0.0014248114312067628,0.07343092188239098,0.00984096364703119,4.618326760861311,-0.06564201629781144,-0.08393990106210919,"(1, 0, 0)"
21,training,0.0066646733321249485,0.09708907082676889,0.00984096364703119,4.658085122513857,-0.06891542229246365,-0.07835912770064386,"(1, 0, 0)"
22,training,0,0.022845670580863953,0.012885167234839102,4.697835963875571,-0.071816500670459,-0.07020833278004125,"(1, 0, 0)"
23,training,0,0.046188563108444214,0.012885167234839102,4.737656989667749,-0.07450223995519883,-0.06265734774943088,"(1, 0, 0)"
24,training,0,0.020267695188522353,0.012885167234839102,4.77747579380939,-0.0767745514798809,-0.05176781464712271,"(1, 0, 0)"
25,training,0,0.024198584258556366,0.012885167234839102,4.817368260563683,-0.07861652792546626,-0.040965261418741156,"(1, 0, 0)"
26,training,0,0.0181276872754097,0.012885167234839102,4.857197760029841,-0.0800890855315523,-0.03302659088200437,"(1, 0, 0)"
27,training,0,0.013725563883781433,0.012885167234839102,4.897071300476621,-0.0812019326340048,-0.022810210050214073,"(1, 0, 0)"
28,training,0,0.03871200978755952,0.024358077221883177,4.9369193885103115,-0.08190387473978607,-0.013511538646716663,"(1, 0, 0)"
29,training,0.002592077711597085,0.08147255331277847,0.024358077221883177,4.976876021253617,-0.08226589951126323,-0.00478886054941005,"(1, 0, 0)"
30,training,0.0025849330704659224,0.08879452757537364,0.024358077221883177,5.0160014803121244,-0.0823650564646122,-0.009850530508266826,"(1, 0, 0)"
31,training,0.004183460026979446,0.12489151768386364,0.024358077221883177,5.0550267368119535,-0.08292096270706971,-0.014894378503787156,"(1, 0, 0)"
32,training,0.004457931034266949,0.1296946182847023,0.024358077221883177,5.094918048548131,-0.08324792582431122,-0.0017035753625280982,"(1, 0, 0)"
33,training,0.020844582468271255,0.24930841475725174,0.024358077221883177,5.134718985574536,-0.08300026465011139,0.015786093016452066,"(1, 0, 0)"
34,training,0.001730812480673194,0.19914298877120015,0.032602382380288494,5.174561577507321,-0.08218622295620405,0.01867892356326946,"(1, 0, 0)"
35,training,0.009020681492984295,0.24747814238071442,0.032602382380288494,5.213619307351976,-0.08153360612569702,0.01908315946425144,"(1, 0, 0)"
36,training,0.014759449288249016,0.32590553723275667,0.032602382380288494,5.253458462378693,-0.08048883227658751,0.031507462454777625,"(1, 0, 0)"
37,training,0.008718915283679962,0.30864959955215454,0.032602382380288494,5.2932968353620335,-0.07928885274777896,0.020907240009229416,"(1, 0, 0)"
38,training,0.02395162358880043,0.2756706178188324,0.032602382380288494,5.333353748928095,-0.07877693046846077,0.006820865364320905,"(1, 0, 0)"
39,training,0.017799196764826775,0.26051105558872223,0.032602382380288494,5.372435746885564,-0.07864233120010759,0.0060955744108769664,"(1, 0, 0)"
40,training,0.006291108671575785,0.333822775632143,0.037120221880650645,5.411969363363142,-0.07808082101796354,0.017995117897677368,"(1, 0, 0)"
41,training,0.0151417450979352,0.32522420585155487,0.037120221880650645,5.452006701833441,-0.07728580331474995,0.018416554651197407,"(1, 0, 0)"
42,training,0.02095857821404934,0.2986169159412384,0.037120221880650645,5.491642487469417,-0.07660054557144401,0.020734511515402704,"(1, 0, 0)"
43,training,0.04930993542075157,0.3072211295366287,0.037120221880650645,5.5313506841017075,-0.07530550223759604,0.05443296871088178,"(1, 0, 0)"
44,training,0.029935959726572037,0.24986582994461065,0.037120221880650645,5.570681123613535,-0.07220795540301672,0.10080989271446332,"(0, 1, 0)"
45,training,0,0.018915757536888123,0.037120221880650645,5.610077246611644,-0.06768430988461731,0.11442528928811428,"(0, 1, 0)"
